id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90098,260T,Torres,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1586736000000
90003,302,Circular Antihorario 302,Origen-Destino,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,,,,,1533081600000
90075,252,Kennedy,Destino-Origen,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90010,305,Comercial Hotelera izquierda,Origen-Destino,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,,,,,1533081600000
90014,309D,Ruta de la Salud izquierda directa,Destino-Origen,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,,,,,1575504000000
90015,315,Circular 315,Destino-Origen,Circular 315 Y 316,Circular,Santra,,,,,1594944000000
90085,255iD,Metrocable La Aurora,Destino-Origen,2A,Integrada,Rápido San Cristóbal,,,,,1533081600000
90093,255A,Las Flores-Moravia-Centro,Origen-Destino,2A,Directa Centro,Rápido San Cristóbal,,,,,1582243200000
90078,253iA,Robledo Aures integrada,Origen-Destino,2A,Integrada,Palenque Robledal,,,,,1533081600000
90002,286,Circular 286,Origen-Destino,Circular 286,Circular,Combuses,,,,,1533081600000
90070,250VF,Robledo Villa Flora,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1743638400000
90095,260C,Córdoba,Destino-Origen,2A,Directa Centro,Palenque Robledal,,,,,1576108800000
90011,308,Ruta de la Salud derecha,Destino-Origen,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,,,,,1533081600000
90107,261,Alfonso López Calle 94,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90087,255V1,Vereda El Llano - Parque San Cristóbal,Origen-Destino,2A,Directa No Centro,Rápido San Cristóbal,,,,,1533081600000
90083,255,San Cristóbal - Doña María,Origen-Destino,2A,Directa Centro,Rápido San Cristóbal,,,,,1533081600000
90081,255A,Nuevo Occidente-Las Flores,Origen-Destino,2A,Directa Centro,Rápido San Cristóbal,,,,,1582243200000
90061,246C,Blanquizal Calazanía,Destino-Origen,2A,Directa Centro,Cootransblan,,,,,1533081600000
