id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,id_gflota,from_date,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90223,51-52 CV-O,Campo Valdés Oriental,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,121335,1755182463247,,,,,1755182463247
90323,243iD,Floresta Directa,Destino-Origen,8A,Integrada,Coonatra,112182,1755182463247,,,,,1755182463247
90314,227iB-2,Socorro,Destino-Origen,8A,Integrada,Metrosan,111992,1755182463247,,,,,1755182463247
90002,286,Circular 286,Origen-Destino,Circular 286,Circular,Combuses,112487,1755182463247,,,,,1755182463247
90003,302,Circular Antihorario 302,Origen-Destino,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,132417,1755182463247,,,,,1755182463247
90004,313,Terminal del Norte-Terminal del Sur,Origen-Destino,Circular 313,Circular,Combuses,142437,1755182463247,,,,,1755182463247
90223,51-52 CV-O,Campo Valdés Oriental,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,121335,1755182463247,,,,,1755182463247
90006,301,Circular,Origen-Destino,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112457,1755182463247,,,,,1755182463247
90072,250M,Moravia,Origen-Destino,2A,Integrada,Palenque Robledal,110272,1755182463247,,,,,1755182463247
90004,313,Terminal del Norte-Terminal del Sur,Destino-Origen,Circular 313,Circular,Combuses,142437,1755182463247,,,,,1755182463247
90005,300,Circular,Origen-Destino,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112447,1755182463247,,,,,1755182463247
90224,51-52 CV-SD,Campo Valdés San Diego,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,121345,1755182463247,,,,,1755182463247
90005,300,Circular,Destino-Origen,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112447,1755182463247,,,,,1755182463247
90063,246i,Blanquizal integrada,Origen-Destino,2A,Integrada,Cootransblan,110042,1755182463247,,,,,1755182463247
90254,106,Tres Esquinas,Destino-Origen,6F,Directa Centro,Cootransmallat,111646,1755182463247,,,,,1755182463247
90008,311,Directa Circular,Origen-Destino,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112477,1755182463247,,,,,1755182463247
90007,310,Directa Circular,Origen-Destino,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112467,1755182463247,,,,,1755182463247
90011,308,Ruta de la Salud derecha,Origen-Destino,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,112537,1755182463247,,,,,1755182463247
90009,304,Comercial Hotelera derecha,Origen-Destino,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,112517,1755182463247,,,,,1755182463247
90008,311,Directa Circular,Destino-Origen,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112477,1755182463247,,,,,1755182463247
90012,308D,Ruta de la Salud derecha directa,Origen-Destino,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,112547,1755182463247,,,,,1755182463247
90065,250AiP,Pajarito integrada,Destino-Origen,2A,Integrada,Palenque Robledal,110242,1755182463247,,,,,1755182463247
90014,309D,Ruta de la Salud izquierda directa,Origen-Destino,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,112567,1755182463247,,,,,1755182463247
90066,250Aii,Tulipanes La Huerta integrada,Origen-Destino,2A,Integrada,Palenque Robledal,110252,1755182463247,,,,,1755182463247
